lugar|titulo|url_estancia|valoracion_clientes|n_valoraciones|tipo|estrellas|fecha_entrada|fecha_salida|n_adultos|n_habitaciones|n_menores
Almería|Casa Ria|https://www.booking.com/hotel/es/casa-ria-almeria1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|97|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Almería|Finca Maltes San José|https://www.booking.com/hotel/es/fincal-maltes-del-fraile.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,3|596|Hotel|2|2026-09-16|2026-09-19|2|1|0
Almería|Apartamentos Maracay|https://www.booking.com/hotel/es/apartamentos-maracay.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|865|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Almería|Casa Pedro|https://www.booking.com/hotel/es/casa-pedro-roquetas-de-mar.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,8|123|NA|NA|2026-09-16|2026-09-19|2|1|0
Almería|Miramar|https://www.booking.com/hotel/es/miramar-playa.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,8|732|Hotel|2|2026-09-16|2026-09-19|2|1|0
Almería|Exe Almería Centro|https://www.booking.com/hotel/es/almeria.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|2744|Hotel|4|2026-09-16|2026-09-19|2|1|0
Almería|Hotel Embajador|https://www.booking.com/hotel/es/hotel-embajador.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|6,7|2624|Hotel|2|2026-09-16|2026-09-19|2|1|0
Almería|Oasis View|https://www.booking.com/hotel/es/b-amp-b-casa-blanca-oria.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,5|147|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Almería|Apartamento Los Mangos|https://www.booking.com/hotel/es/apartamento-los-mangos-roquetas-de-mar.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,7|40|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Almería|Horizon Plaza Colon 7|https://www.booking.com/hotel/es/horizon-plaza-colon-7.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|30|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
