lugar|titulo|url_estancia|valoracion_clientes|n_valoraciones|tipo|estrellas|fecha_entrada|fecha_salida|n_adultos|n_habitaciones|n_menores
Rota|Apartamento patio Andaluz|https://www.booking.com/hotel/es/apartamento-patio-andaluz-rota.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|10|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento Las Dunas Costa Ballena|https://www.booking.com/hotel/es/las-dunas-rota1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|13|NA|NA|2026-09-16|2026-09-19|2|1|0
Rota|Casa Blanca|https://www.booking.com/hotel/es/casa-blanca-rota.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,0|1|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento residencial de golf y playa Cadiz|https://www.booking.com/hotel/es/apartamento-residencial-de-golf-y-playa-cadiz.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|15|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Isabelita|https://www.booking.com/hotel/es/isabelita.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,3|25|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Villa Zeus|https://www.booking.com/hotel/es/villa-zeus-rota2.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,7|17|NA|NA|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento La Sirenita|https://www.booking.com/hotel/es/apartamento-a-estrenar-en-punta-candor.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,6|27|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|La Gaviota|https://www.booking.com/hotel/es/la-gaviota-rota.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|49|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento en Rota con piscina y parking junto al mar|https://www.booking.com/hotel/es/precioso-apto-con-piscina-y-parking-junto-al-mar.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|66|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Ático primera línea en costa ballena|https://www.booking.com/hotel/es/atico-primera-linea-en-costa-ballena.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|10|2|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|2 Bedroom Amazing Apartment In Rota|https://www.booking.com/hotel/es/gorgeous-apartment-in-rota-with-wifi.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,1|14|Hotel|4|2026-09-16|2026-09-19|2|1|0
Rota|Ecija Playa Rota by Staycare|https://www.booking.com/hotel/es/ecija-playa-rota-by-staycare-rota.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|18|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Apartment Punta Candor - Seaview by Interhome|https://www.booking.com/hotel/es/apartment-punta-candor-seaview.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,0|11|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento Costa De La Luz|https://www.booking.com/hotel/es/apartamento-costa-de-la-luz-rota1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|6|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Nerea Rota free parking by Staycare|https://www.booking.com/hotel/es/nerea-rota-free-parking-by-staycare.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|6|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|RESIDENCIAL EL CANO|https://www.booking.com/hotel/es/residencial-el-cano.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|1|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Edomus Playa de la Costilla|https://www.booking.com/hotel/es/edomus-playa-de-la-costilla.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|5,0|2|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento Rota|https://www.booking.com/hotel/es/apartamento-rota-rota1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|63|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Rota|Agua Marina by Staycare|https://www.booking.com/hotel/es/agua-marina-by-staycare-rota.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,1|17|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Anka Kurro|https://www.booking.com/hotel/es/anka-kurro-by-bossh-hotels-rota1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,1|146|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Rota|SOLEA 17|https://www.booking.com/hotel/es/solea-17.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|48|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Rota|Casa Blanca|https://www.booking.com/hotel/es/casa-blanca-rota1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|4|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|La casa en la playa|https://www.booking.com/hotel/es/la-casa-en-la-playa-rota.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|NA|NA|NA|NA|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento Rincón La Ballena|https://www.booking.com/hotel/es/apartamento-rincon-la-ballena.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|NA|NA|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Luar Candor free parking by Staycare|https://www.booking.com/hotel/es/luar-candor-free-parking-by-staycare.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,8|12|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
